psyche16,#fafafa,#ebe8da,#ff7196,#eb418a,#304059,#071822,#f0007d,#7f0d4b,#962bb5,#3c43ad,#ffdd5f,#fbb03b,#b9e226,#5ab00f,#5dd8d6,#40a095
lvamaranthus16,#000a4c,#7f55f6,#5c3096,#402160,#98008c,#e136a0,#f6559e,#f57388,#f49c90,#f2c3ac,#e4f279,#cbb53a,#d98f1e,#ca5618,#831c2f,#ca1839
nannermuffins,#28252d,#453849,#404a5e,#7a4d49,#3f705f,#ba615f,#5c8499,#93888a,#bf8870,#7bae79,#e29b84,#82bfc9,#e2b398,#c2cf8f,#eed19e,#ebe8c9
pp16,#2b0a03,#692731,#83403a,#ab613b,#b57735,#bf914f,#c1b367,#5cbb72,#49af75,#5d9984,#5d7c8f,#63364e,#63416b,#6a5489,#6569a0,#627bb4
16metallic,#fabaf8,#534459,#311290,#170f1a,#ffffff,#866c85,#274893,#330b11,#b5e9d4,#81bde6,#3877c5,#561d25,#fce778,#c88f49,#a4562a,#973a35
gemspark16,#241729,#2b3052,#6d4e87,#ad7da9,#d9b4bb,#dfeee9,#9ed3db,#6588cf,#296475,#41542b,#2d8a4c,#81b35d,#d4ca81,#b07d56,#ab5259,#543533
colorblindpalette16,#000000,#252525,#676767,#ffffff,#171723,#004949,#009999,#22cf22,#490092,#006ddb,#b66dff,#ff6db6,#920000,#8f4e00,#db6d00,#ffdf4d
pearald,#3fe392,#3dc58d,#3aa986,#379a8a,#348288,#326077,#2b3a68,#120855,#241356,#351e56,#593161,#7a446d,#975973,#b0606e,#c96266,#e16863
doomed,#000000,#1b3e3c,#3e5b51,#6e7e55,#a9a96b,#ffe1cb,#ffc190,#ffb54a,#ff8837,#ff5d00,#ba4509,#902200,#4e0d00,#dd2200,#ff4e1d,#ffffff
evangelist16,#1b2825,#eb3b35,#9f1f4a,#5e1da8,#8b4fae,#797db2,#b89be2,#b5bbff,#e3d4ff,#744a6a,#c47d9b,#d4a3cb,#6a907d,#b2c084,#f2e89d,#fffff4
shine16,#9de4e4,#5d9ddd,#070760,#612f93,#bf66bf,#fdefff,#b99cd4,#784a5f,#2b0000,#49132f,#be3131,#efa65d,#ecec77,#97d954,#2d892d,#153f2f
winterfes,#3c1c4a,#574084,#655ec0,#5a78e3,#549fff,#4fd8ff,#7fffff,#bfffff,#ffffff,#ffdaef,#ffa8df,#ef60bf,#e716ac,#991674,#5c024a,#300020
tpwcomic,#ffd8ba,#f7a983,#f28a91,#db3b5d,#57253b,#ac2925,#ef692f,#eca549,#3e88b7,#4b3b9c,#6a6c56,#adac8e,#fff4e0,#cecfbf,#939487,#2b2b26
sk16,#2497fc,#283d85,#271f36,#592b66,#a60d0d,#ff5a00,#fcb500,#ede547,#85d451,#029925,#00401c,#000000,#475370,#798b94,#99cfc5,#ebffcc
softel16,#fffef9,#f8f2e1,#d7e2de,#fcea9e,#ffdc86,#db835e,#caefa6,#a7d074,#8ba764,#f36684,#f3506f,#9c4071,#a0d7eb,#6287be,#5e5e80,#404b4f
